Date,Job_Type,Education_Level,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Hours_Worked,Platform_Count,Jobs_Completed,Job_Duration_Days,Income_Total,Expenses_Total,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month
2024-01-01,Hybrid/Gig-Task,Undergraduate,Delivery,1,75.22,7.6,5.6,2,1,1,504.0,153.0,9900.0,,2024-01,12612.08,23059.15,37000.0
2024-01-02,Hybrid/Gig-Task,Undergraduate,None,0,75.71,7.8,0.0,0,0,0,0.0,520.1,-13800.0,356.38,2024-01,12612.08,23059.15,37000.0
2024-01-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.01,7.9,5.8,2,4,1,800.13,521.2,7800.0,404.54,2024-01,12612.08,23059.15,37000.0
2024-01-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.12,8.0,5.3,2,5,1,795.2,564.32,6600.0,376.28,2024-01,12612.08,23059.15,37000.0
2024-01-05,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.14,7.7,2.7,3,4,1,800.26,519.4,7800.0,348.37,2024-01,12612.08,23059.15,37000.0
2024-01-06,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.18,7.6,2.4,2,5,1,360.15,572.55,-5900.0,324.26,2024-01,12612.08,23059.15,37000.0
2024-01-07,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.05,7.8,4.4,2,4,1,660.33,580.67,2300.0,299.29,2024-01,12612.08,23059.15,37000.0
2024-01-08,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.9,7.8,2.4,2,5,1,216.12,5195.97,-138700.0,326.79,2024-01,12612.08,23059.15,37000.0
2024-01-09,Hybrid/Gig-Task,Undergraduate,None,0,74.06,7.7,0.0,0,0,0,0.0,2077.18,-60400.0,326.79,2024-01,12612.08,23059.15,37000.0
2024-01-10,Hybrid/Gig-Task,Undergraduate,None,0,75.05,7.8,0.0,0,0,0,0.0,470.81,-13800.0,351.05,2024-01,12612.08,23059.15,37000.0
2024-01-11,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.49,8.1,3.7,3,4,1,333.27,156.3,4700.0,305.9,2024-01,12612.08,23059.15,37000.0
2024-01-12,Hybrid/Gig-Task,Undergraduate,None,0,74.57,8.0,0.0,0,0,0,0.0,1546.26,-43500.0,248.81,2024-01,12612.08,23059.15,37000.0
2024-01-13,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.21,7.7,3.5,2,3,1,315.31,133.31,5100.0,245.28,2024-01,12612.08,23059.15,37000.0
2024-01-14,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.89,7.6,3.0,4,5,1,800.86,474.18,9400.0,289.33,2024-01,12612.08,23059.15,37000.0
2024-01-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.46,8.0,3.7,4,2,1,555.64,475.27,2200.0,312.59,2024-01,12612.08,23059.15,37000.0
2024-01-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.66,8.1,4.3,4,2,1,800.99,572.64,6600.0,335.99,2024-01,12612.08,23059.15,37000.0
2024-01-17,Hybrid/Gig-Task,Undergraduate,None,0,74.87,7.9,0.0,0,0,0,0.0,558.71,-15000.0,335.99,2024-01,12612.08,23059.15,37000.0
2024-01-18,Hybrid/Gig-Task,Undergraduate,None,0,75.13,7.8,0.0,0,0,0,0.0,558.82,-15900.0,369.14,2024-01,12612.08,23059.15,37000.0
2024-01-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.41,8.0,2.6,1,1,1,234.35,138.48,2700.0,341.34,2024-01,12612.08,23059.15,37000.0
2024-01-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.13,8.1,2.3,2,3,1,207.32,919.34,-20300.0,347.49,2024-01,12612.08,23059.15,37000.0
2024-01-21,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.17,8.0,4.8,1,2,1,801.32,530.03,7400.0,347.59,2024-01,12612.08,23059.15,37000.0
2024-01-22,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.56,7.6,2.8,2,5,1,801.38,1507.06,-19000.0,380.18,2024-01,12612.08,23059.15,37000.0
2024-01-23,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.79,7.6,5.1,3,4,1,801.45,483.03,8400.0,380.26,2024-01,12612.08,23059.15,37000.0
2024-01-24,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.89,7.7,5.7,3,5,1,513.97,207.91,9100.0,335.69,2024-01,12612.08,23059.15,37000.0
2024-01-25,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.39,8.1,2.9,2,4,1,801.58,588.7,5800.0,276.1,2024-01,12612.08,23059.15,37000.0
2024-01-26,Hybrid/Gig-Task,Undergraduate,None,1,75.7,7.7,0.0,0,0,0,0.0,503.41,-14100.0,334.98,2024-01,12612.08,23059.15,37000.0
2024-01-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.9,7.5,5.8,3,5,1,801.71,565.81,6800.0,304.31,2024-01,12612.08,23059.15,37000.0
2024-01-28,Hybrid/Gig-Task,Undergraduate,None,0,74.6,8.0,0.0,0,0,0,0.0,515.66,-14900.0,377.92,2024-01,12612.08,23059.15,37000.0
2024-01-29,Hybrid/Gig-Task,Undergraduate,None,0,75.81,7.6,0.0,0,0,0,0.0,538.89,-15800.0,403.07,2024-01,12612.08,23059.15,37000.0
2024-01-30,Hybrid/Gig-Task,Undergraduate,None,0,74.7,7.8,0.0,0,0,0,0.0,425.36,-12100.0,389.24,2024-01,12612.08,23059.15,37000.0
2024-01-31,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.14,7.6,4.7,2,3,1,706.74,484.78,6300.0,412.8,2024-01,12612.08,23059.15,37000.0
2024-02-01,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.78,7.7,3.0,1,4,1,802.04,538.19,7000.0,412.89,2024-02,13893.18,16894.829999999998,22400.0
2024-02-02,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.58,7.9,3.9,3,2,1,586.54,582.56,100.0,393.82,2024-02,13893.18,16894.829999999998,22400.0
2024-02-03,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.61,7.7,4.0,2,2,1,601.63,550.47,1400.0,367.35,2024-02,13893.18,16894.829999999998,22400.0
2024-02-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.57,7.8,5.3,3,2,1,797.22,559.64,6300.0,351.22,2024-02,13893.18,16894.829999999998,22400.0
2024-02-05,Hybrid/Gig-Task,Undergraduate,None,0,75.46,7.7,0.0,0,0,0,0.0,526.52,-14900.0,351.22,2024-02,13893.18,16894.829999999998,22400.0
2024-02-06,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.47,7.9,5.4,3,5,1,487.44,162.12,9500.0,276.03,2024-02,13893.18,16894.829999999998,22400.0
2024-02-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.54,7.9,4.0,3,4,1,802.44,447.16,9500.0,286.18,2024-02,13893.18,16894.829999999998,22400.0
2024-02-08,Hybrid/Gig-Task,Undergraduate,None,0,75.54,8.0,0.0,0,0,0,0.0,499.63,-14000.0,339.26,2024-02,13893.18,16894.829999999998,22400.0
2024-02-09,Hybrid/Gig-Task,Undergraduate,None,0,75.91,7.8,0.0,0,0,0,0.0,576.29,-16100.0,375.56,2024-02,13893.18,16894.829999999998,22400.0
2024-02-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.97,7.5,4.8,4,3,1,433.42,967.39,-14700.0,364.54,2024-02,13893.18,16894.829999999998,22400.0
2024-02-11,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.2,7.6,2.7,3,2,1,802.7,457.58,9500.0,365.64,2024-02,13893.18,16894.829999999998,22400.0
2024-02-12,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.86,8.1,4.0,2,4,1,602.07,544.37,1700.0,336.24,2024-02,13893.18,16894.829999999998,22400.0
2024-02-13,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.92,7.9,3.8,2,5,1,802.83,541.45,7500.0,362.67,2024-02,13893.18,16894.829999999998,22400.0
2024-02-14,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.08,7.4,4.2,4,2,1,632.28,432.64,5400.0,343.59,2024-02,13893.18,16894.829999999998,22400.0
2024-02-15,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.57,7.6,2.7,4,2,1,243.9,150.29,2600.0,297.55,2024-02,13893.18,16894.829999999998,22400.0
2024-02-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.55,7.8,5.1,3,3,1,803.03,516.54,8000.0,214.86,2024-02,13893.18,16894.829999999998,22400.0
2024-02-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.65,7.4,2.2,3,4,1,331.28,573.14,-7000.0,232.19,2024-02,13893.18,16894.829999999998,22400.0
2024-02-18,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.28,7.6,3.4,3,3,1,803.16,407.74,11600.0,232.25,2024-02,13893.18,16894.829999999998,22400.0
2024-02-19,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.04,8.2,4.3,2,3,1,647.6,475.45,4800.0,232.87,2024-02,13893.18,16894.829999999998,22400.0
2024-02-20,Hybrid/Gig-Task,Undergraduate,None,0,75.48,7.3,0.0,0,0,0,0.0,583.57,-16000.0,307.37,2024-02,13893.18,16894.829999999998,22400.0
2024-02-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.82,8.0,5.5,3,4,1,828.47,531.17,8700.0,330.13,2024-02,13893.18,16894.829999999998,22400.0
2024-02-22,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.96,7.6,2.3,3,2,1,207.89,111.1,2800.0,335.43,2024-02,13893.18,16894.829999999998,22400.0
2024-02-23,Hybrid/Gig-Task,Undergraduate,None,0,76.25,7.7,0.0,0,0,0,0.0,458.64,-13400.0,358.01,2024-02,13893.18,16894.829999999998,22400.0
2024-02-24,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.97,8.3,5.0,4,4,1,803.56,437.51,9800.0,385.75,2024-02,13893.18,16894.829999999998,22400.0
2024-02-25,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.29,7.9,4.6,1,2,1,693.13,437.59,6800.0,371.91,2024-02,13893.18,16894.829999999998,22400.0
2024-02-26,Hybrid/Gig-Task,Undergraduate,None,0,76.29,8.0,0.0,0,0,0,0.0,3448.84,-92200.0,395.62,2024-02,13893.18,16894.829999999998,22400.0
2024-02-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.13,7.9,4.5,1,4,1,803.76,467.08,9200.0,389.69,2024-02,13893.18,16894.829999999998,22400.0
2024-02-28,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.9,7.9,2.5,2,1,1,376.79,411.55,-1000.0,357.82,2024-02,13893.18,16894.829999999998,22400.0
2024-02-29,Hybrid/Gig-Task,Undergraduate,None,0,75.95,7.9,0.0,0,0,0,0.0,498.61,-14700.0,385.18,2024-02,13893.18,16894.829999999998,22400.0
2024-03-01,Hybrid/Gig-Task,Undergraduate,None,0,75.83,7.9,0.0,0,0,0,0.0,431.94,-12200.0,385.18,2024-03,12423.73,19065.8,28600.0
2024-03-02,Hybrid/Gig-Task,Undergraduate,None,0,75.92,8.0,0.0,0,0,0,0.0,532.19,-15100.0,357.52,2024-03,12423.73,19065.8,28600.0
2024-03-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.82,7.4,5.6,4,5,1,804.09,450.32,9700.0,381.2,2024-03,12423.73,19065.8,28600.0
2024-03-04,Hybrid/Gig-Task,Undergraduate,None,0,76.4,7.6,0.0,0,0,0,0.0,457.49,-12100.0,381.2,2024-03,12423.73,19065.8,28600.0
2024-03-05,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.35,7.7,3.4,4,5,1,512.69,406.96,3100.0,327.02,2024-03,12423.73,19065.8,28600.0
2024-03-06,Hybrid/Gig-Task,Undergraduate,None,0,76.28,7.4,0.0,0,0,0,0.0,465.77,-13500.0,332.09,2024-03,12423.73,19065.8,28600.0
2024-03-07,Hybrid/Gig-Task,Undergraduate,Data Entry,0,77.08,8.0,5.2,3,2,1,784.24,488.14,8200.0,385.97,2024-03,12423.73,19065.8,28600.0
2024-03-08,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.54,7.8,4.9,4,4,1,739.06,449.74,8200.0,391.23,2024-03,12423.73,19065.8,28600.0
2024-03-09,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.49,7.9,3.1,3,4,1,804.48,443.75,9700.0,369.75,2024-03,12423.73,19065.8,28600.0
2024-03-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.58,7.9,4.5,4,3,1,407.3,172.26,6500.0,348.88,2024-03,12423.73,19065.8,28600.0
2024-03-11,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.22,7.8,2.2,1,2,1,331.9,602.03,-7300.0,293.47,2024-03,12423.73,19065.8,28600.0
2024-03-12,Hybrid/Gig-Task,Undergraduate,None,0,75.02,7.8,0.0,0,0,0,0.0,552.47,-14900.0,351.36,2024-03,12423.73,19065.8,28600.0
2024-03-13,Hybrid/Gig-Task,Undergraduate,None,0,75.58,7.9,0.0,0,0,0,0.0,449.16,-13000.0,351.36,2024-03,12423.73,19065.8,28600.0
2024-03-14,Hybrid/Gig-Task,Undergraduate,None,0,73.46,7.9,0.0,0,0,0,0.0,608.46,-17700.0,347.62,2024-03,12423.73,19065.8,28600.0
2024-03-15,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.94,7.8,2.3,2,1,1,804.88,459.47,9700.0,361.27,2024-03,12423.73,19065.8,28600.0
2024-03-16,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.56,8.0,2.8,3,4,1,422.6,574.2,-4400.0,302.74,2024-03,12423.73,19065.8,28600.0
2024-03-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.15,7.6,3.5,4,2,1,528.29,3477.31,-83000.0,314.39,2024-03,12423.73,19065.8,28600.0
2024-03-18,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.79,7.6,3.9,3,3,1,588.71,438.43,4300.0,333.38,2024-03,12423.73,19065.8,28600.0
2024-03-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.82,7.7,3.0,3,2,1,271.74,122.82,4300.0,302.25,2024-03,12423.73,19065.8,28600.0
2024-03-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.85,8.0,2.9,4,3,1,262.7,104.57,4500.0,261.7,2024-03,12423.73,19065.8,28600.0
2024-03-21,Hybrid/Gig-Task,Undergraduate,None,0,74.6,7.9,0.0,0,0,0,0.0,3512.47,-98300.0,261.7,2024-03,12423.73,19065.8,28600.0
2024-03-22,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.51,7.7,3.5,1,2,1,528.51,438.76,2600.0,207.7,2024-03,12423.73,19065.8,28600.0
2024-03-23,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.39,8.0,2.2,2,5,1,199.34,130.03,1900.0,215.59,2024-03,12423.73,19065.8,28600.0
2024-03-24,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.46,8.0,5.2,4,2,1,805.48,410.48,11400.0,273.61,2024-03,12423.73,19065.8,28600.0
2024-03-25,Hybrid/Gig-Task,Undergraduate,Event Staff,1,74.36,7.9,5.6,4,4,1,805.54,520.31,8000.0,310.96,2024-03,12423.73,19065.8,28600.0
2024-03-26,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.45,7.8,4.2,3,4,1,634.42,462.48,5100.0,314.19,2024-03,12423.73,19065.8,28600.0
2024-03-27,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.39,7.8,2.3,2,4,1,347.45,466.63,-3300.0,306.77,2024-03,12423.73,19065.8,28600.0
2024-03-28,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.38,7.7,5.1,4,2,1,462.29,194.21,7400.0,227.01,2024-03,12423.73,19065.8,28600.0
2024-03-29,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.6,7.6,3.3,1,5,1,498.59,573.6,-2200.0,227.55,2024-03,12423.73,19065.8,28600.0
2024-03-30,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.43,7.4,4.5,3,4,1,679.96,537.09,4000.0,175.55,2024-03,12423.73,19065.8,28600.0
2024-03-31,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.61,7.8,2.2,2,2,1,199.47,132.26,1900.0,206.76,2024-03,12423.73,19065.8,28600.0
2024-04-01,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.11,8.4,2.1,4,4,1,190.42,113.97,2100.0,194.67,2024-04,12297.29,15664.550000000001,21400.0
2024-04-02,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.0,8.0,2.9,1,1,1,806.07,596.43,5900.0,231.9,2024-04,12297.29,15664.550000000001,21400.0
2024-04-03,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.17,8.1,3.9,1,3,1,353.69,149.65,5700.0,231.43,2024-04,12297.29,15664.550000000001,21400.0
2024-04-04,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.09,8.5,5.2,1,5,1,806.2,2301.11,-44100.0,266.84,2024-04,12297.29,15664.550000000001,21400.0
2024-04-05,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.48,8.2,2.4,2,5,1,217.69,114.06,3000.0,288.21,2024-04,12297.29,15664.550000000001,21400.0
2024-04-06,Hybrid/Gig-Task,Undergraduate,Data Entry,0,72.59,8.4,4.2,4,1,1,634.99,563.27,2100.0,283.07,2024-04,12297.29,15664.550000000001,21400.0
2024-04-07,Hybrid/Gig-Task,Undergraduate,None,0,72.99,8.3,0.0,0,0,0,0.0,587.83,-15900.0,320.98,2024-04,12297.29,15664.550000000001,21400.0
2024-04-08,Hybrid/Gig-Task,Undergraduate,None,0,73.76,8.6,0.0,0,0,0,0.0,510.5,-14400.0,351.29,2024-04,12297.29,15664.550000000001,21400.0
2024-04-09,Hybrid/Gig-Task,Undergraduate,None,0,72.99,7.7,0.0,0,0,0,0.0,598.25,-16900.0,328.39,2024-04,12297.29,15664.550000000001,21400.0
2024-04-10,Hybrid/Gig-Task,Undergraduate,Event Staff,1,73.75,8.7,5.4,4,4,1,806.6,575.94,6300.0,383.58,2024-04,12297.29,15664.550000000001,21400.0
2024-04-11,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.29,8.3,3.5,3,3,1,529.38,603.58,-2100.0,340.86,2024-04,12297.29,15664.550000000001,21400.0
2024-04-12,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.44,8.5,5.9,1,5,1,535.47,157.04,10000.0,347.21,2024-04,12297.29,15664.550000000001,21400.0
2024-04-13,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.22,8.4,2.9,3,1,1,438.7,565.05,-3700.0,328.54,2024-04,12297.29,15664.550000000001,21400.0
2024-04-14,Hybrid/Gig-Task,Undergraduate,Data Entry,1,73.97,8.5,2.4,4,3,1,363.09,439.68,-2200.0,294.67,2024-04,12297.29,15664.550000000001,21400.0
2024-04-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.11,8.4,2.9,3,1,1,438.77,524.45,-2300.0,241.82,2024-04,12297.29,15664.550000000001,21400.0
2024-04-16,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.49,8.3,4.9,4,2,1,444.86,165.33,8000.0,144.31,2024-04,12297.29,15664.550000000001,21400.0
2024-04-17,Hybrid/Gig-Task,Undergraduate,Delivery,0,72.88,8.2,4.4,3,1,1,399.5,170.46,6100.0,63.23,2024-04,12297.29,15664.550000000001,21400.0
2024-04-18,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.58,8.2,5.7,3,3,1,517.57,208.27,9100.0,60.87,2024-04,12297.29,15664.550000000001,21400.0
2024-04-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.87,8.1,5.5,2,5,1,499.45,208.31,8300.0,53.33,2024-04,12297.29,15664.550000000001,21400.0
2024-04-20,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.37,8.3,3.2,1,3,1,290.62,137.88,4300.0,78.71,2024-04,12297.29,15664.550000000001,21400.0
2024-04-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.82,8.2,2.6,4,4,1,393.57,562.85,-4500.0,75.7,2024-04,12297.29,15664.550000000001,21400.0
2024-04-22,Hybrid/Gig-Task,Undergraduate,None,0,73.92,8.5,0.0,0,0,0,0.0,467.94,-12600.0,177.24,2024-04,12297.29,15664.550000000001,21400.0
2024-04-23,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.42,8.2,3.9,1,5,1,354.28,141.02,6000.0,173.59,2024-04,12297.29,15664.550000000001,21400.0
2024-04-24,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.72,8.0,5.0,4,5,1,757.06,449.72,8700.0,232.84,2024-04,12297.29,15664.550000000001,21400.0
2024-04-25,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.48,8.2,3.0,3,4,1,454.27,475.37,-600.0,228.78,2024-04,12297.29,15664.550000000001,21400.0
2024-04-26,Hybrid/Gig-Task,Undergraduate,None,0,74.34,8.4,0.0,0,0,0,0.0,495.91,-13600.0,264.98,2024-04,12297.29,15664.550000000001,21400.0
2024-04-27,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.02,8.5,5.1,2,3,1,463.44,177.95,8000.0,269.64,2024-04,12297.29,15664.550000000001,21400.0
