Date,Job_Type,Education_Level,Job_Categories,Public_Holiday_Flag,Local_Gas_Price,Monthly_Unemployment_Rate,Hours_Worked,Platform_Count,Jobs_Completed,Job_Duration_Days,Income_Total,Expenses_Total,Target_Income_Next_Day,income_volatility_index,Month,Monthly_Income,Monthly_Expenses,Target_Income_Next_Month
2024-04-28,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.87,8.4,3.8,2,2,1,575.55,549.29,800.0,283.41,2024-04,12297.29,15664.550000000001,21400.0
2024-04-29,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.9,8.4,2.4,1,2,1,218.12,142.21,2200.0,245.08,2024-04,12297.29,15664.550000000001,21400.0
2024-04-30,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.68,7.8,2.1,1,3,1,807.93,2911.23,-57000.0,286.46,2024-04,12297.29,15664.550000000001,21400.0
2024-05-01,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.93,8.6,4.2,2,1,1,808.0,486.15,9100.0,295.53,2024-05,13774.82,33724.61,58700.0
2024-05-02,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.48,8.5,2.7,3,2,1,808.06,571.21,6300.0,320.52,2024-05,13774.82,33724.61,58700.0
2024-05-03,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.65,8.3,2.3,3,3,1,209.1,5132.65,-134000.0,268.94,2024-05,13774.82,33724.61,58700.0
2024-05-04,Hybrid/Gig-Task,Undergraduate,None,0,74.14,8.2,0.0,0,0,0,0.0,514.08,-15100.0,342.44,2024-05,13774.82,33724.61,58700.0
2024-05-05,Hybrid/Gig-Task,Undergraduate,None,0,73.9,8.4,0.0,0,0,0,0.0,586.9,-15900.0,384.82,2024-05,13774.82,33724.61,58700.0
2024-05-06,Hybrid/Gig-Task,Undergraduate,None,0,74.68,8.3,0.0,0,0,0,0.0,524.52,-13900.0,410.66,2024-05,13774.82,33724.61,58700.0
2024-05-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.87,8.3,3.3,4,2,1,808.39,413.96,10900.0,410.74,2024-05,13774.82,33724.61,58700.0
2024-05-08,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.41,8.0,2.9,3,1,1,808.46,538.05,7900.0,410.82,2024-05,13774.82,33724.61,58700.0
2024-05-09,Hybrid/Gig-Task,Undergraduate,Delivery,0,72.97,8.2,5.8,3,2,1,527.56,157.86,10600.0,373.69,2024-05,13774.82,33724.61,58700.0
2024-05-10,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.53,8.2,4.9,2,4,1,445.74,149.69,8800.0,370.97,2024-05,13774.82,33724.61,58700.0
2024-05-11,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.08,8.2,3.8,2,2,1,808.66,543.48,7600.0,362.35,2024-05,13774.82,33724.61,58700.0
2024-05-12,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.9,8.4,5.5,3,5,1,834.0,596.92,7000.0,309.32,2024-05,13774.82,33724.61,58700.0
2024-05-13,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.33,8.4,4.6,2,3,1,697.58,424.69,7900.0,156.81,2024-05,13774.82,33724.61,58700.0
2024-05-14,Hybrid/Gig-Task,Undergraduate,Data Entry,0,73.63,8.5,3.3,2,1,1,500.48,567.39,-1900.0,165.69,2024-05,13774.82,33724.61,58700.0
2024-05-15,Hybrid/Gig-Task,Undergraduate,None,0,74.18,8.4,0.0,0,0,0,0.0,473.09,-13800.0,284.45,2024-05,13774.82,33724.61,58700.0
2024-05-16,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.7,8.0,2.6,2,1,1,808.99,5339.45,-128800.0,301.01,2024-05,13774.82,33724.61,58700.0
2024-05-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.66,8.4,4.4,2,1,1,667.47,484.56,5100.0,295.52,2024-05,13774.82,33724.61,58700.0
2024-05-18,Hybrid/Gig-Task,Undergraduate,None,0,73.81,8.1,0.0,0,0,0,0.0,556.53,-16300.0,359.19,2024-05,13774.82,33724.61,58700.0
2024-05-19,Hybrid/Gig-Task,Undergraduate,None,0,74.84,8.1,0.0,0,0,0,0.0,508.37,-13800.0,368.6,2024-05,13774.82,33724.61,58700.0
2024-05-20,Hybrid/Gig-Task,Undergraduate,None,0,75.11,8.1,0.0,0,0,0,0.0,2601.92,-75100.0,363.35,2024-05,13774.82,33724.61,58700.0
2024-05-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.63,8.2,5.0,1,2,1,758.74,601.03,4600.0,400.4,2024-05,13774.82,33724.61,58700.0
2024-05-22,Hybrid/Gig-Task,Undergraduate,None,0,74.63,8.2,0.0,0,0,0,0.0,552.85,-16200.0,400.4,2024-05,13774.82,33724.61,58700.0
2024-05-23,Hybrid/Gig-Task,Undergraduate,None,0,74.26,8.3,0.0,0,0,0,0.0,3887.15,-106800.0,348.96,2024-05,13774.82,33724.61,58700.0
2024-05-24,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.85,8.4,4.1,4,4,1,373.39,4380.3,-111200.0,297.77,2024-05,13774.82,33724.61,58700.0
2024-05-25,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.11,8.3,4.2,1,2,1,382.53,141.89,6600.0,298.24,2024-05,13774.82,33724.61,58700.0
2024-05-26,Hybrid/Gig-Task,Undergraduate,Event Staff,0,73.89,7.8,3.8,4,3,1,809.66,537.85,7600.0,352.42,2024-05,13774.82,33724.61,58700.0
2024-05-27,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.31,8.8,3.9,4,1,1,592.11,560.58,900.0,329.77,2024-05,13774.82,33724.61,58700.0
2024-05-28,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.81,8.3,3.6,3,4,1,546.61,416.66,3800.0,301.64,2024-05,13774.82,33724.61,58700.0
2024-05-29,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.3,8.3,5.5,1,3,1,835.17,478.48,10300.0,288.24,2024-05,13774.82,33724.61,58700.0
2024-05-30,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.72,8.1,4.9,1,1,1,744.12,435.34,8500.0,191.74,2024-05,13774.82,33724.61,58700.0
2024-05-31,Hybrid/Gig-Task,Undergraduate,None,0,75.02,8.4,0.0,0,0,0,0.0,561.01,-16000.0,293.89,2024-05,13774.82,33724.61,58700.0
2024-06-01,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.84,8.4,3.5,4,1,1,531.6,570.39,-1100.0,284.25,2024-06,14491.87,15166.08,18100.0
2024-06-02,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.51,8.4,2.6,2,2,1,394.94,570.49,-4800.0,271.31,2024-06,14491.87,15166.08,18100.0
2024-06-03,Hybrid/Gig-Task,Undergraduate,None,0,74.81,8.2,0.0,0,0,0,0.0,471.73,-13900.0,331.04,2024-06,14491.87,15166.08,18100.0
2024-06-04,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.24,8.3,2.0,3,1,1,303.85,506.84,-5700.0,330.24,2024-06,14491.87,15166.08,18100.0
2024-06-05,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.32,8.1,4.4,4,2,1,401.11,142.19,7200.0,270.58,2024-06,14491.87,15166.08,18100.0
2024-06-06,Hybrid/Gig-Task,Undergraduate,None,0,73.82,8.3,0.0,0,0,0,0.0,428.71,-11700.0,227.86,2024-06,14491.87,15166.08,18100.0
2024-06-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.6,8.3,4.5,2,1,1,810.46,450.44,9900.0,287.74,2024-06,14491.87,15166.08,18100.0
2024-06-08,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.71,8.3,5.4,3,3,1,820.65,2006.25,-34000.0,335.17,2024-06,14491.87,15166.08,18100.0
2024-06-09,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.35,8.0,5.9,3,1,1,896.71,432.06,12800.0,386.14,2024-06,14491.87,15166.08,18100.0
2024-06-10,Hybrid/Gig-Task,Undergraduate,None,0,74.21,8.3,0.0,0,0,0,0.0,581.68,-17000.0,386.14,2024-06,14491.87,15166.08,18100.0
2024-06-11,Hybrid/Gig-Task,Undergraduate,Delivery,0,73.81,8.3,3.2,2,1,1,291.86,146.48,4100.0,386.99,2024-06,14491.87,15166.08,18100.0
2024-06-12,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.48,8.3,4.8,1,1,1,729.71,530.32,5600.0,398.4,2024-06,14491.87,15166.08,18100.0
2024-06-13,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.78,8.0,3.9,3,4,1,355.76,156.86,5600.0,341.57,2024-06,14491.87,15166.08,18100.0
2024-06-14,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.37,8.2,5.7,4,5,1,810.92,563.55,7200.0,341.63,2024-06,14491.87,15166.08,18100.0
2024-06-15,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.54,8.6,4.8,2,1,1,729.89,437.71,8500.0,331.57,2024-06,14491.87,15166.08,18100.0
2024-06-16,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.99,8.1,5.2,4,4,1,790.78,422.31,10700.0,314.84,2024-06,14491.87,15166.08,18100.0
2024-06-17,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.85,8.4,2.0,2,3,1,304.17,465.77,-4400.0,242.11,2024-06,14491.87,15166.08,18100.0
2024-06-18,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.31,8.6,5.1,1,3,1,811.19,483.42,9300.0,220.06,2024-06,14491.87,15166.08,18100.0
2024-06-19,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.25,8.1,5.3,2,3,1,483.71,200.43,7900.0,224.34,2024-06,14491.87,15166.08,18100.0
2024-06-20,Hybrid/Gig-Task,Undergraduate,None,0,74.15,8.3,0.0,0,0,0,0.0,577.63,-16200.0,314.39,2024-06,14491.87,15166.08,18100.0
2024-06-21,Hybrid/Gig-Task,Undergraduate,None,0,75.02,8.5,0.0,0,0,0,0.0,597.38,-16500.0,354.07,2024-06,14491.87,15166.08,18100.0
2024-06-22,Hybrid/Gig-Task,Undergraduate,None,0,74.77,8.2,0.0,0,0,0,0.0,605.77,-17100.0,363.76,2024-06,14491.87,15166.08,18100.0
2024-06-23,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.9,8.1,4.2,1,2,1,811.52,532.47,8200.0,368.09,2024-06,14491.87,15166.08,18100.0
2024-06-24,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.88,8.0,2.3,2,3,1,811.59,587.38,6200.0,406.79,2024-06,14491.87,15166.08,18100.0
2024-06-25,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.95,8.7,4.3,4,2,1,654.4,536.82,3400.0,385.2,2024-06,14491.87,15166.08,18100.0
2024-06-26,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.87,8.3,4.8,3,4,1,811.72,431.4,10500.0,416.54,2024-06,14491.87,15166.08,18100.0
2024-06-27,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.71,8.3,2.9,3,2,1,811.79,436.65,10900.0,385.01,2024-06,14491.87,15166.08,18100.0
2024-06-28,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.59,7.9,3.8,1,4,1,347.07,173.87,4800.0,317.75,2024-06,14491.87,15166.08,18100.0
2024-06-29,Hybrid/Gig-Task,Undergraduate,None,0,75.68,8.0,0.0,0,0,0,0.0,565.18,-16400.0,317.75,2024-06,14491.87,15166.08,18100.0
2024-06-30,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.8,8.2,5.1,1,5,1,776.47,553.9,6400.0,314.25,2024-06,14491.87,15166.08,18100.0
2024-07-01,Hybrid/Gig-Task,Undergraduate,None,0,75.26,7.5,0.0,0,0,0,0.0,494.98,-13300.0,368.93,2024-07,12075.05,17013.98,24500.0
2024-07-02,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.21,8.2,5.7,1,3,1,812.12,3259.4,-67200.0,385.38,2024-07,12075.05,17013.98,24500.0
2024-07-03,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.31,7.8,4.6,2,3,1,812.19,455.8,10000.0,385.45,2024-07,12075.05,17013.98,24500.0
2024-07-04,Hybrid/Gig-Task,Undergraduate,None,0,74.68,7.9,0.0,0,0,0,0.0,553.28,-14900.0,400.81,2024-07,12075.05,17013.98,24500.0
2024-07-05,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.03,7.7,2.1,1,2,1,191.91,119.18,2000.0,407.97,2024-07,12075.05,17013.98,24500.0
2024-07-06,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.28,8.2,4.3,2,1,1,812.39,478.87,9400.0,400.53,2024-07,12075.05,17013.98,24500.0
2024-07-07,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.96,7.9,2.5,4,1,1,228.5,105.74,3400.0,387.74,2024-07,12075.05,17013.98,24500.0
2024-07-08,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.42,7.6,4.8,4,5,1,731.27,488.38,6600.0,356.71,2024-07,12075.05,17013.98,24500.0
2024-07-09,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.32,8.1,5.9,4,5,1,539.36,161.79,11100.0,332.63,2024-07,12075.05,17013.98,24500.0
2024-07-10,Hybrid/Gig-Task,Undergraduate,None,0,75.28,7.7,0.0,0,0,0,0.0,434.63,-12400.0,336.5,2024-07,12075.05,17013.98,24500.0
2024-07-11,Hybrid/Gig-Task,Undergraduate,None,0,75.12,7.5,0.0,0,0,0,0.0,512.53,-13800.0,336.5,2024-07,12075.05,17013.98,24500.0
2024-07-12,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.44,8.0,5.7,4,2,1,812.79,560.36,7300.0,366.06,2024-07,12075.05,17013.98,24500.0
2024-07-13,Hybrid/Gig-Task,Undergraduate,Event Staff,0,74.92,7.7,3.8,1,1,1,812.86,513.76,8400.0,366.14,2024-07,12075.05,17013.98,24500.0
2024-07-14,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.3,7.7,3.1,3,5,1,472.51,534.62,-1700.0,353.33,2024-07,12075.05,17013.98,24500.0
2024-07-15,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.15,8.2,3.3,1,3,1,301.82,142.25,4400.0,339.7,2024-07,12075.05,17013.98,24500.0
2024-07-16,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.07,7.7,4.2,4,4,1,640.28,428.9,6100.0,347.67,2024-07,12075.05,17013.98,24500.0
2024-07-17,Hybrid/Gig-Task,Undergraduate,None,0,74.89,7.9,0.0,0,0,0,0.0,578.56,-16800.0,347.67,2024-07,12075.05,17013.98,24500.0
2024-07-18,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.14,7.7,2.7,1,5,1,411.68,589.06,-5000.0,292.38,2024-07,12075.05,17013.98,24500.0
2024-07-19,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.9,8.1,4.2,4,2,1,813.26,480.06,9500.0,292.46,2024-07,12075.05,17013.98,24500.0
2024-07-20,Hybrid/Gig-Task,Undergraduate,None,0,74.96,7.4,0.0,0,0,0,0.0,483.27,-12900.0,305.47,2024-07,12075.05,17013.98,24500.0
2024-07-21,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.78,7.7,5.3,1,2,1,808.31,553.01,7000.0,346.56,2024-07,12075.05,17013.98,24500.0
2024-07-22,Hybrid/Gig-Task,Undergraduate,None,0,75.68,7.4,0.0,0,0,0,0.0,456.43,-12500.0,381.46,2024-07,12075.05,17013.98,24500.0
2024-07-23,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.75,7.6,5.7,4,3,1,813.53,621.86,5500.0,405.86,2024-07,12075.05,17013.98,24500.0
2024-07-24,Hybrid/Gig-Task,Undergraduate,None,0,75.69,7.8,0.0,0,0,0,0.0,592.85,-15800.0,405.86,2024-07,12075.05,17013.98,24500.0
2024-07-25,Hybrid/Gig-Task,Undergraduate,Delivery,0,74.86,7.7,2.0,3,1,1,183.07,133.16,1400.0,414.5,2024-07,12075.05,17013.98,24500.0
2024-07-26,Hybrid/Gig-Task,Undergraduate,None,0,75.69,7.8,0.0,0,0,0,0.0,546.26,-15200.0,383.69,2024-07,12075.05,17013.98,24500.0
2024-07-27,Hybrid/Gig-Task,Undergraduate,None,0,75.66,8.2,0.0,0,0,0,0.0,529.71,-14800.0,383.69,2024-07,12075.05,17013.98,24500.0
2024-07-28,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.6,8.1,4.2,3,4,1,640.92,448.62,5500.0,347.14,2024-07,12075.05,17013.98,24500.0
2024-07-29,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.45,7.6,2.0,1,2,1,305.22,566.35,-7300.0,331.69,2024-07,12075.05,17013.98,24500.0
2024-07-30,Hybrid/Gig-Task,Undergraduate,Data Entry,0,74.75,7.8,2.3,4,4,1,351.04,602.91,-7400.0,240.71,2024-07,12075.05,17013.98,24500.0
2024-07-31,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.89,7.8,3.8,4,5,1,580.02,587.4,-200.0,255.19,2024-07,12075.05,17013.98,24500.0
2024-08-01,Hybrid/Gig-Task,Undergraduate,None,0,76.2,7.5,0.0,0,0,0,0.0,542.72,-15800.0,276.94,2024-08,15700.57,18927.86,25000.0
2024-08-02,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.45,7.5,4.8,3,4,1,732.78,609.51,3300.0,296.48,2024-08,15700.57,18927.86,25000.0
2024-08-03,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.66,8.0,4.3,3,1,1,393.9,165.69,6100.0,247.21,2024-08,15700.57,18927.86,25000.0
2024-08-04,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.28,7.3,3.9,1,5,1,814.33,602.44,5900.0,278.66,2024-08,15700.57,18927.86,25000.0
2024-08-05,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.61,7.9,4.7,3,5,1,430.61,138.65,8500.0,271.44,2024-08,15700.57,18927.86,25000.0
2024-08-06,Hybrid/Gig-Task,Undergraduate,None,0,75.72,8.0,0.0,0,0,0,0.0,511.96,-14500.0,324.68,2024-08,15700.57,18927.86,25000.0
2024-08-07,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.0,7.9,3.7,3,3,1,814.53,452.61,10300.0,354.48,2024-08,15700.57,18927.86,25000.0
2024-08-08,Hybrid/Gig-Task,Undergraduate,Event Staff,0,76.15,7.4,4.9,3,1,1,814.6,548.67,7500.0,311.22,2024-08,15700.57,18927.86,25000.0
2024-08-09,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.73,7.7,5.2,1,3,1,814.66,518.52,7900.0,319.71,2024-08,15700.57,18927.86,25000.0
2024-08-10,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.54,7.9,3.0,3,3,1,814.73,2021.24,-34200.0,317.74,2024-08,15700.57,18927.86,25000.0
2024-08-11,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.36,7.7,4.6,3,2,1,702.76,471.75,6500.0,310.44,2024-08,15700.57,18927.86,25000.0
2024-08-12,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.63,7.6,3.4,1,2,1,311.69,149.28,4700.0,325.88,2024-08,15700.57,18927.86,25000.0
2024-08-13,Hybrid/Gig-Task,Undergraduate,None,0,75.09,7.9,0.0,0,0,0,0.0,578.43,-16100.0,325.88,2024-08,15700.57,18927.86,25000.0
2024-08-14,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.07,7.9,2.8,3,1,1,427.87,551.39,-3300.0,318.2,2024-08,15700.57,18927.86,25000.0
2024-08-15,Hybrid/Gig-Task,Undergraduate,Data Entry,1,75.89,7.5,3.9,4,3,1,596.02,517.02,2300.0,298.62,2024-08,15700.57,18927.86,25000.0
2024-08-16,Hybrid/Gig-Task,Undergraduate,Data Entry,0,75.34,8.0,3.5,4,4,1,534.93,473.25,1700.0,270.64,2024-08,15700.57,18927.86,25000.0
2024-08-17,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.2,7.7,5.7,4,4,1,815.2,560.06,7300.0,270.74,2024-08,15700.57,18927.86,25000.0
2024-08-18,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.94,8.0,2.4,3,4,1,220.12,130.64,2400.0,267.19,2024-08,15700.57,18927.86,25000.0
2024-08-19,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.6,7.7,3.1,1,3,1,815.33,555.05,7500.0,300.44,2024-08,15700.57,18927.86,25000.0
2024-08-20,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.45,8.1,4.9,2,5,1,749.15,488.25,7100.0,220.93,2024-08,15700.57,18927.86,25000.0
2024-08-21,Hybrid/Gig-Task,Undergraduate,Delivery,0,76.24,7.8,4.7,1,1,1,431.18,164.17,7700.0,220.52,2024-08,15700.57,18927.86,25000.0
2024-08-22,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.37,7.6,2.9,3,3,1,815.53,4022.51,-91700.0,235.84,2024-08,15700.57,18927.86,25000.0
2024-08-23,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.05,7.9,5.8,1,1,1,886.97,436.22,12500.0,250.29,2024-08,15700.57,18927.86,25000.0
2024-08-24,Hybrid/Gig-Task,Undergraduate,Data Entry,0,76.5,7.9,5.6,2,3,1,856.45,480.25,10000.0,254.56,2024-08,15700.57,18927.86,25000.0
2024-08-25,Hybrid/Gig-Task,Undergraduate,None,0,75.07,8.0,0.0,0,0,0,0.0,612.2,-17000.0,324.99,2024-08,15700.57,18927.86,25000.0
2024-08-26,Hybrid/Gig-Task,Undergraduate,Event Staff,0,75.33,7.7,3.0,1,3,1,815.8,580.92,6500.0,325.03,2024-08,15700.57,18927.86,25000.0
2024-08-27,Hybrid/Gig-Task,Undergraduate,Delivery,0,75.97,8.2,3.0,3,2,1,275.36,134.0,4200.0,349.53,2024-08,15700.57,18927.86,25000.0
2024-08-28,Hybrid/Gig-Task,Undergraduate,None,0,77.42,7.9,0.0,0,0,0,0.0,456.53,-12300.0,412.98,2024-08,15700.57,18927.86,25000.0
2024-08-29,Hybrid/Gig-Task,Undergraduate,None,0,75.79,7.9,0.0,0,0,0,0.0,465.0,-13700.0,430.84,2024-08,15700.57,18927.86,25000.0
